location,industrial,logistics,auto,retail,grocery,office,education,health,restaurants,public sector,entertainment,hotel,others,Latitude,Longitude
"Roosevelt Island, New York, New York",5443,3879,586,7163,1953,17815,6015,32245,6547,883,1902,880,7639,40.7592379,-73.9593111
"Saratoga Avenue, New York, New York",1977,1656,313,1377,642,5162,3273,3372,1959,1567,243,85,2383,40.6614669,-73.9162746
"Second Avenue, New York, New York",2092,1368,329,3281,921,7412,5627,10723,3554,5955,1027,113,7046,42.7815578,-73.928904
"Seneca Avenue, New York, New York",4341,5485,551,1335,1509,2960,3442,2589,1444,902,84,43,2090,40.7028171,-73.9076756
"Seventh Avenue, New York, New York",57388,39466,1170,84219,3797,551687,18184,39693,45520,6539,25585,21195,61564,40.76287095,-73.98252421
"Sheepshead Bay, New York, New York",1918,1279,451,1438,688,6291,2886,4210,1655,379,124,51,1878,40.5912161,-73.9445822
"Shepherd Avenue, New York, New York",2005,1910,393,918,735,2421,2515,3470,1093,793,181,37,1641,40.6740912,-73.8808063
"Simpson Street, New York, New York",4342,5222,663,1588,1830,3408,4879,8101,1733,954,106,46,2800,40.824126,-73.8929633
"Smith–Ninth Streets, New York, New York",4211,3498,378,2798,963,5280,2714,2788,2660,788,1066,284,2760,40.72914525,-73.99507565
"South Ferry-Whitehall Street, New York, New York",8820,3732,2195,8701,1097,200955,8734,14969,7999,23821,3461,2912,26649,40.7030869,-74.012994
"Spring Street, New York, New York",9081,4940,2258,23265,2694,137150,25140,11614,21372,14430,9065,3101,23883,40.7249123,-74.0026845
"St. Lawrence Avenue, New York, New York",782,3167,137,565,778,853,1907,1164,675,402,25,0,622,40.8316162,-73.8672666
"Steinway Street, New York, New York",4603,2674,1257,3199,931,7505,2497,5241,3903,479,766,59,3132,40.7575068,-73.9201758
"Sterling Street, New York, New York",1127,771,178,1536,695,5070,4850,9382,1855,894,1266,38,4059,40.6630955,-73.9508689
"Sutphin Boulevard, New York, New York",2050,2177,749,1999,408,7813,2322,6338,1720,2063,130,230,2299,40.70546,-73.810708
"Sutphin Boulevard–Archer Avenue–JFK Airport, New York, New York",518,834,107,321,225,800,1077,774,708,240,85,923,551,40.7001994,-73.8088601
"Sutter Avenue, New York, New York",2011,1657,379,1514,614,2756,3785,13024,1482,1131,222,51,2180,40.6648322,-73.9227587
"Sutter Avenue–Rutland Road, New York, New York",1189,1608,382,1760,846,3262,3571,18754,1851,1272,419,54,2941,40.6648322,-73.9227587
"Third Avenue, New York, New York",2112,1532,329,3694,964,8332,6534,10826,4051,6845,1404,120,7382,40.8143702,-73.9208338
"Third Avenue–138th Street, New York, New York",2112,1532,329,3694,964,8332,6534,10826,4051,6845,1404,120,7382,40.8249209,-73.9083423
"Third Avenue–149th Street, New York, New York",23908,11361,540,36765,4110,138713,29614,57948,29732,2365,10131,5560,27674,40.8120839,-73.9041639
"Times Square–42nd Street, New York, New York",60994,39419,2489,84249,4503,635101,16118,41128,46631,10261,26071,30131,64412,40.7552858,-73.9872162
"Tremont Avenue, New York, New York",355,161,161,1424,886,1305,1515,1618,1019,239,127,46,594,40.8504099,-73.905227
"Union Street, New York, New York",1215,1620,416,1647,826,3074,3610,18759,1858,1200,285,55,2788,40.7362396,-73.9887389
"Utica Avenue, New York, New York",1549,1521,201,1418,854,5952,3764,6200,2182,1222,499,113,4208,40.679347,-73.9308408
"Van Cortlandt Park–242nd Street, New York, New York",633,347,117,963,482,1787,3348,2576,1099,253,422,21,1231,40.8894635,-73.898489
"Van Siclen Avenue, New York, New York",1366,1522,246,2701,594,1595,1055,1167,1371,1215,35,25,714,40.6654867,-73.889236
"Vernon Boulevard–Jackson Avenue, New York, New York",4990,3295,648,3453,1146,11420,4395,26119,3623,537,875,519,5016,40.7426919,-73.9540014
"Wakefield–241st Street, New York, New York",2404,1356,317,824,418,2340,1690,2324,1048,1247,317,22,2008,40.9031569,-73.8506021
"Wall Street, New York, New York",10031,5117,2235,11483,1586,223548,11933,18151,11788,26606,4613,3386,28961,40.7059917,-74.0087767
"Westchester Square–East Tremont Avenue, New York, New York",1750,1125,593,1221,633,5615,2219,9754,1559,396,182,67,2310,40.8400475,-73.8427671
"West Eighth Street–New York Aquarium, New York, New York",20557,10000,542,39168,4404,145237,28018,32874,32593,2957,11483,5678,27087,40.72914525,-73.99507565
"West Farms Square–East Tremont Avenue, New York, New York",2885,2337,575,2030,1339,4254,11554,14866,2523,878,302,113,3058,40.8406659,-73.8796826
"West Fourth Street–Washington Square, New York, New York",17146,6699,416,35499,3943,120228,25077,17489,29476,3838,11011,4317,23119,40.731643,-74.0009941
"Whitlock Avenue, New York, New York",3627,4768,529,1348,1464,3081,4434,5186,1540,839,94,43,2330,40.8265891,-73.8862747
"Wilson Avenue, New York, New York",1448,470,609,542,578,1918,2894,2718,1193,455,63,25,1525,40.6885422,-73.9042827
"Winthrop Street, New York, New York",1240,990,343,1676,851,3231,3927,20037,1725,1000,396,41,2873,40.6570982,-73.9502145
"Woodhaven Boulevard, New York, New York",1219,1099,162,1414,551,2003,1430,674,1003,29,134,115,899,40.7332625,-73.8697005
"Woodlawn, New York, New York",874,436,173,512,365,1381,931,1244,701,256,271,23,998,40.898155,-73.8673573
"WTC Cortlandt, New York, New York",13581,7251,2341,25086,3198,229825,27033,21790,24321,24049,9711,5481,32334,40.7111153,-74.0122698
"York Street, New York, New York",12407,6715,2289,25177,3112,211902,25749,18772,24024,22527,9754,5091,29619,40.72914525,-73.99507565
"Zerega Avenue, New York, New York",903,1881,213,1064,332,611,2268,1327,502,539,35,8,640,40.8367792,-73.8466904
"12th Street Oakland City Center, Oakland",6454,9980,497,2392,572,24647,2850,5300,3503,13933,1316,825,7127,37.8034958,-122.271692
"16th Street Mission, San Francisco",6322,6178,1344,5231,4081,20964,4228,6142,6423,14192,3550,1227,7204,37.7647569,-122.4223632
"19th Street Oakland, Oakland",6509,8359,589,2464,676,24847,3055,7846,3600,13928,1321,799,7417,37.807894,-122.2688878
"24th Street Mission, San Francisco",2481,1695,453,2030,974,7285,1923,3489,3716,1274,796,150,3149,37.7522559,-122.418449
"Antioch, Antioch, San Francisco",564,531,767,602,35,670,347,290,664,485,244,12,584,39.0648291,8.4562962
"Ashby, Berkeley",919,567,385,2284,586,11273,36781,2392,2441,1798,1448,380,3189,37.8529812,-122.269711
"Balboa Park, San Francisco",596,267,138,317,559,1454,1289,1500,984,149,292,19,654,37.7214274,-122.4475473
"Bay Fair, San Leandro",475,301,278,1070,185,2000,525,1728,858,1260,140,0,474,37.6975821,-122.1273405
"Berryessa-North San José, San José",3773,1007,225,595,130,2375,472,263,488,598,48,9,320,37.3683499,-121.8746417
"stro Valley, Castro Valley",336,217,316,623,461,1424,619,2715,997,131,106,52,826,37.71573685,-122.0906318
"vic Center-UN Plaza, San Francisco",7924,7131,1970,14135,4288,69493,5874,14548,12961,18915,6234,13729,14950,37.7793583,-122.4139639
"liseum, Oakland",1956,1073,420,405,125,1092,691,447,407,244,67,155,891,37.7539702,-122.1972051
"ncord, Concord, San Francisco",728,357,596,436,251,2608,724,5959,879,991,230,12,868,43.259909,-2.926501019
"Daly City, Daly City",549,512,623,1066,366,9086,610,1694,1278,991,368,58,926,37.6904826,-122.47267
"Downtown Berkeley, Berkeley",323,174,70,608,153,739,528,9964,940,111,232,24,460,37.87549965,-122.2390685
"Dublin-Pleasanton, Dublin-Pleasanton",3491,3060,1093,1945,314,7974,445,1156,1042,730,474,321,830,37.7016339,-121.898299
"El Cerrito del Norte, El Cerrito",279,260,206,763,147,560,458,373,493,1147,270,25,339,37.9251823,-122.3169068
"El Cerrito Plaza, El Cerrito",429,113,318,665,576,1528,714,1147,1090,416,206,29,1227,37.899719,-122.2995487
"Embarcadero, San Francisco",10061,5687,327,12311,1397,157811,4830,8595,11378,5710,2763,8484,13574,37.79448815,-122.3996223
"Fremont, Fremont, San Francisco",444,272,107,919,776,3513,876,3540,1169,1634,1256,37,543,37.78999325,-122.3948792
"Fruitvale, Oakland",2017,1290,413,956,531,1412,1294,2197,1430,224,178,15,1185,37.7748464,-122.224095
"Glen Park, San Francisco",764,300,129,422,678,2707,998,2210,1226,308,357,18,919,37.734281,-122.4344696
"Hayward, Hayward, San Francisco",1675,1742,128,480,163,999,31,98,99,29,22,11,220,37.660811,-122.1539868
"Lafayette, Lafayette",1364,492,169,431,179,3785,5807,6100,1278,4001,249,40,2061,30.2262187,-92.0178202
"Lake Merritt, Oakland",5574,7771,513,2206,564,21383,3017,5108,3177,12979,1150,538,6306,37.7972157,-122.265039
"MacArthur, Oakland",2570,1312,264,2431,555,3678,761,2124,1576,102,643,174,1218,37.8288064,-122.267125
"Millbrae, Millbrae, San Francisco",376,259,186,267,307,2158,596,2623,1135,335,158,453,622,37.6121077,-122.4028702
"Milpitas, Milpitas, San Francisco",7116,1348,191,526,332,3350,545,1265,1056,1139,151,226,527,37.4332273,-121.8989248
"Montgomery Street, San Francisco",11895,6607,665,17462,1791,173671,6709,12928,16022,6911,3648,14264,17588,37.7892283,-122.401472
"North Berkeley, Berkeley",695,503,165,1862,664,10969,36334,1684,1955,1543,1411,287,2564,37.8708393,-122.272863
"North Concord-Martinez, Concord, San Francisco",1269,475,55,297,44,619,144,219,128,211,164,0,169,38.0029897,-122.0243458
"Oakland International Airport, Oakland",152,463,41,61,11,294,28,58,101,104,24,21,157,37.72225915,-122.2170166
"Orinda, Orinda, San Francisco",156,114,56,159,156,1326,232,527,246,145,82,22,242,37.0268066,-121.6006578
"Pittsburg-Bay Point, Pittsburg, San Francisco",530,173,45,295,225,141,64,42,122,33,5,16,103,38.0182952,-121.9451489
"Pittsburg Center, Pittsburg, San Francisco",530,173,45,295,225,141,64,42,122,33,5,16,103,40.44615455,-80.00417135
"Pleasant Hill-Contra Costa Centre, Walnut Creek, San Francisco",1172,548,614,1091,263,6246,876,1620,860,559,195,594,694,37.9191998,-122.0998915
"Powell Street, San Francisco",10171,5033,938,17178,2359,161790,7213,15463,17184,9191,4584,14785,17886,37.7847076,-122.4071867
"Richmond, Richmond",625,3293,232,373,2156,853,675,958,390,1547,389,4,938,37.5385087,-77.43428
"Rockridge, Oakland",433,627,125,553,759,2220,1572,3849,1473,13,247,136,1168,37.8447574,-122.2512573
"San Bruno, San Bruno",958,928,364,1438,376,4395,528,622,1727,476,508,197,753,37.6261715,-122.433243
"San Francisco International Airport, San Mateo County",0,1495,3,16,13,627,0,21,172,64,0,221,41,37.6162238,-122.3915235
"San Leandro, San Leandro",874,460,393,386,493,1968,636,1567,801,525,268,7,1015,37.7249296,-122.1560768
"South Hayward, Hayward",0,0,0,0,0,0,0,0,0,0,0,0,0,37.6344666,-122.0569501
"South San Francisco, South San Francisco",4006,4365,397,1036,1125,5528,785,1031,1291,679,229,527,1566,37.6535403,-122.4168664
"Union City, South San Francisco",4006,4365,397,1036,1125,5528,785,1031,1291,679,229,527,1566,37.6633725,-122.4181018
"Walnut Creek, Walnut Creek",898,896,1259,3621,563,12095,599,3901,2922,1644,304,258,1752,37.9020731,-122.0618702
"Warm Springs-South Fremont, Fremont",3135,1217,355,805,156,2493,395,309,401,10,137,77,511,37.5032005,-121.939803
"West Dublin-Pleasanton, Dublin-Pleasanton",2013,1847,904,3527,535,5715,872,1530,1737,435,365,266,1131,37.6997514,-121.9281673
"West Oakland, Oakland",1417,1282,164,631,137,1091,553,766,308,101,220,14,751,37.8048919,-122.2951752
"6th Avenue, Hilltop, Tacoma",167,91,120,541,96,862,1184,2986,893,20,93,10,670,47.25107185,-122.4569243
"Angle Lake, SeaTac, Seattle",191,1457,106,89,138,508,65,160,295,697,176,450,638,47.4223439,-122.297814
"Beacon Hill, Beacon Hill, Seattle",2238,1736,447,1201,764,2461,800,2988,642,362,287,184,1287,47.5775857,-122.30996
"pitol Hill, Capitol Hill, Seattle",2447,789,343,2389,1431,17150,3357,25541,4504,1048,1300,1492,3063,47.6238307,-122.318368
"lumbia City, Columbia City, Seattle",266,366,70,166,394,674,425,1115,617,42,119,14,762,47.5579124,-122.2852162
"nvention Center 15th St, Downtown Tacoma",2175,1780,188,1535,114,8932,680,10700,1573,9382,562,445,1827,47.2495,-122.438557
"International District-Chinatown, Chinatown-International District, Seattle",6120,5525,382,4091,828,46174,2891,41683,6477,14812,2860,2739,5894,47.5983652,-122.327994
"Mount Baker, Mount Baker, Seattle",462,338,97,402,293,557,574,733,313,34,127,194,954,47.5785522,-122.2895262
"Northgate, Northgate, Seattle",475,198,202,823,241,2967,691,4420,782,293,205,135,725,47.7131534,-122.3212307
"Othello, NewHolly, Seattle",225,204,99,120,142,482,551,680,292,147,54,0,1153,47.5366592,-122.2938026
"Pioneer Square, Pioneer Square, Seattle",6563,6645,355,5717,989,65115,1737,38187,8250,14950,3327,4567,6574,47.6027217,-122.3313539
"Rainier Beach, Rainier Beach, Seattle",324,352,51,182,108,326,329,159,194,38,86,0,141,47.5230762,-122.270288
"Roosevelt, Roosevelt, Seattle",359,119,120,445,515,1181,944,1019,1028,21,343,15,873,47.6751482,-122.3177514
"SODO, SoDo, Seattle",3845,3705,582,1807,1203,4548,407,683,1085,1053,406,37,803,47.5798036,-122.3272789
"South 25th, Tacoma",1217,430,294,2706,81,2642,403,7914,863,455,133,164,877,47.2390803,-122.434205
"South 4th Stadium District, Tacoma",817,155,182,901,269,1777,1130,1099,470,825,230,52,1167,47.2592303,-122.4539723
"St. Joseph, Hilltop, Tacoma",1365,138,59,196,230,834,224,676,661,2,42,57,241,39.74592695,-94.82222873
"Stadium, SoDo, Seattle",3845,3705,582,1807,1203,4548,407,683,1085,1053,406,37,803,47.5784609,-122.2979308
"Stadium District, Stadium District, Tacoma",944,211,242,646,404,3455,1031,1435,733,865,261,79,1645,47.2637975,-122.4504275
"Tacoma Dome, Tacoma",1809,1316,194,1549,29,2183,234,693,593,1211,1577,228,736,47.2397436,-122.4291663
"Tacoma General, Hilltop, Tacoma",2,1,7,2,15,9,7,22,5,25,0,0,2,47.4475673,-122.3080159
"Theater District, Downtown Tacoma",1673,1292,198,1199,128,8731,812,12673,1730,9276,550,413,1936,47.2529501,-122.439304
"Tukwila International Boulevard, Tukwila",325,955,70,163,360,889,270,169,658,160,37,148,293,47.474097,-122.2843505
"Union Station 19th St, Downtown Tacoma",1673,1292,198,1199,128,8731,812,12673,1730,9276,550,413,1936,47.2448099,-122.43662
"University of Washington, University District, Seattle",567,381,317,2496,434,25759,4103,11528,2136,169,590,392,1708,47.65562275,-122.3027224
"University Street, Downtown Seattle",7599,6916,382,10171,1656,77765,4555,42533,11887,14665,4011,7043,10228,29.7661239,-95.35963163
"U District, University District, Seattle",533,377,301,2547,520,25628,4170,11605,2186,117,579,392,1725,47.6612984,-122.3131523
"Westlake, Downtown Seattle",7120,6787,338,7560,1577,73893,4281,41945,10816,14969,3803,6806,9569,47.5971401,-122.3281974
"Boston Allston Street, Boston",680,436,737,499,551,3141,1027,3616,1688,86,230,75,1347,42.3486046,-71.1376139
"Boston Bellingham Square, Boston",982,1552,80,309,558,1968,721,1540,703,1015,32,233,711,61.13043105,-149.8475141
"Boston Chelsea, Boston",1217,1719,208,358,606,2345,767,1410,702,1075,50,243,690,42.3856224,-71.0222833
"Boston Chinatown, Boston",7990,13864,168,4869,794,154612,5198,25951,11837,16198,4398,5065,16905,42.3513291,-71.0626228
"Boston Community College, Boston",252,284,27,184,208,2245,1293,515,690,2595,89,134,500,42.3736234,-71.0697182
"Boston East Berkeley Street, Boston",3087,8701,130,1928,540,50601,9262,20218,6197,3387,2122,3947,8660,42.3446726,-71.0680628
"Boston East Berkeley Street, Boston",3185,9200,132,1959,548,53189,9294,20303,6298,3437,2223,3996,8823,42.3446726,-71.0680628
"Boston Fairbanks Street, Boston",255,262,57,2255,722,2268,920,1873,1111,858,222,87,1111,42.350675,-71.16295
"Boston Fenway, Boston",707,257,58,942,254,3259,13905,65988,2948,495,4452,435,2908,42.3430654,-71.0981848
"Boston Forest Hills, Boston",197,201,59,93,85,734,338,1178,557,137,134,0,704,42.2967648,-71.1119963
"Boston Hawes Street, Boston",599,342,96,2905,624,4179,10558,58091,2484,401,365,390,3133,42.357758,-71.056386
"Boston Herald Street, Boston",3807,10322,143,1867,566,69900,7046,17378,6900,5293,2485,4051,9193,42.3463115,-71.0630607
"Boston Herald Street, Boston",4117,10403,146,2096,573,77917,5842,16358,7325,5694,2554,4224,9756,42.3463115,-71.0630607
"Boston KendallMIT, Boston",6210,971,23,1159,59,11834,14114,2360,1908,1159,378,621,2691,42.3554334,-71.060511
"Boston Lechmere, Boston",4115,509,132,1424,220,6033,1469,5851,1177,1127,262,428,843,42.3554334,-71.060511
"Boston Lenox St, Boston",2501,1021,104,466,285,4480,9841,9729,1838,5124,546,241,2159,43.0834008,-75.8174111
"Boston Lenox St, Boston",2266,997,99,433,275,4149,9649,9617,1789,5389,503,225,2096,43.0834008,-75.8174111
"Boston Massachusetts Ave, Boston",3134,1250,140,673,333,6035,9229,9827,2492,5685,661,781,3003,42.351797,-71.0899525
"Boston Massachusetts Ave, Boston",3142,1255,141,681,338,6046,9229,9831,2497,5702,661,782,3009,42.351797,-71.0899525
"Boston Massachusetts Ave, Boston",1496,576,54,2485,724,27652,4457,6791,5162,3557,2435,2776,4624,42.351797,-71.0899525
"Boston Museum Of Fine Arts, Boston",880,551,45,969,425,4368,7292,68704,3077,3427,4056,732,3373,42.3379182,-71.0950201
"Boston Newton Centre, Boston",127,143,14,196,189,1326,369,637,372,220,54,37,716,42.3429139,-71.19340063
"Boston Newton Highlands, Boston",279,137,46,240,152,1285,221,573,186,133,37,7,553,42.2996341,-71.20418095
"Boston North Quincy, Boston",131,55,14,87,209,712,259,255,412,28,42,53,198,42.383157,-71.0677775
"Boston Nubian, Boston",1659,1057,114,352,210,1887,2225,6418,877,4887,178,98,1713,42.3290977,-71.0850876
"Boston Revere Beach, Boston",163,120,101,98,29,329,103,373,262,62,121,5,178,42.364615,-71.032643
"Boston Shawmut, Boston",520,580,112,1182,132,1064,871,1241,593,685,82,0,1029,42.2745068,-71.0593045
"Boston Sullivan Square, Boston",924,863,83,524,485,4848,943,755,543,208,184,154,1262,42.3842954,-71.0769775
"Boston Summit Avenue, Boston",283,281,320,2292,683,3148,1150,2218,1221,1031,304,138,1317,40.985164,-81.541311
"Boston Sutherland Road, Boston",222,212,34,207,334,1271,807,2945,677,135,84,128,691,42.341582,-71.1462998
"Boston Tufts Medical Center, Boston",6089,12258,127,3741,693,124292,3819,18678,10048,11799,3620,4854,13787,42.3496554,-71.0638505
"Boston Warren Street, Boston",754,503,583,499,503,3223,995,3362,1691,187,214,68,1339,42.3486367,-71.1402269
"Boston Wellington, Boston",102,109,4,15,13,439,38,132,302,1,4,40,269,-41.2960662,174.768385
"Boston West Newton Street, Boston",3238,919,92,1888,683,18689,7740,9993,3936,3386,814,2214,3928,42.339937,-71.074903
"Boston West Newton Street, Boston",3125,905,92,1867,674,17001,7728,9955,3746,3380,775,1767,3421,42.339937,-71.074903
"Boston Worcester Street, Boston",3331,958,102,1850,599,13346,8267,9943,3702,4256,956,1471,3480,42.090628,-71.638349
"Boston Worcester Street, Boston",3131,1119,127,1229,305,6999,8336,9715,2664,5092,746,895,3217,42.090628,-71.638349
"Boston Worcester Street, Boston",3131,1119,127,1229,305,6999,8336,9715,2664,5092,746,895,3217,42.090628,-71.638349
" 47th-South Elevated, Chicago",130,82,9,89,78,423,530,1300,244,64,54,9,598,41.8654712,-87.7423005
" 79th, Chicago",116,645,40,279,107,279,204,164,378,11,5,2,310,41.7525316,-87.5530981
" Ashland-Lake, Chicago",3016,1528,146,826,175,6649,1439,8238,3173,338,3001,194,2078,41.8859293,-87.6671516
" Austin-Congress, Chicago",314,371,68,165,34,410,546,553,256,533,145,0,315,41.874163,-87.7400706
" Austin-Lake, Chicago",226,69,60,85,101,653,724,2007,155,803,257,0,541,41.8879694,-87.7731704
" Belmont-O'Hare, Chicago",737,368,344,685,502,1289,905,504,996,11,75,6,610,41.667447,-87.59274059
" DamenMilwaukee, Chicago",1050,348,270,2169,357,2931,1104,2546,2209,12,405,117,1336,41.8755616,-87.6244212
" Damen-Ravenswood, Chicago",900,388,91,499,311,1700,1106,1852,1342,136,329,49,1094,41.9663859,-87.6788409
" Diversey, Chicago",534,381,150,1650,470,3785,563,8137,2940,72,849,154,1368,41.9320399,-87.7073181
" Foster, Chicago",866,380,20,578,280,5671,7264,3282,1492,1373,536,368,2695,41.9760593,-87.6721953
" Francisco, Chicago",226,93,108,169,142,845,371,1655,540,1,170,3,632,37.7095407,-122.4328074
" Fullerton, Chicago",703,235,198,1379,487,4518,1157,2049,2631,39,886,50,1411,41.9245715,-87.6925126
" GrandState, Chicago",15570,5106,381,9064,2077,139134,7376,26188,18633,13786,4580,15106,21622,41.8755616,-87.6244212
" Granville, Chicago",232,135,79,489,366,1320,1879,892,924,25,263,29,832,41.993749,-87.659213
" Halsted-Midway, Chicago",531,411,142,179,91,603,477,228,449,73,119,0,521,41.8477626,-87.6464885
" Harlem-Congress, Chicago",365,173,226,179,165,765,392,1123,431,125,226,4,489,41.8940426,-87.8051385
" Cottage Grove, Chicago",58,249,19,84,393,551,5216,8271,210,273,107,22,569,41.832384,-87.6110717
" ClarkLake, Chicago",29320,16845,417,12301,2681,253223,9416,15392,16666,25751,5927,11360,26610,41.8755616,-87.6244212
" Cicero-Douglas, Chicago",800,222,157,545,161,369,1129,187,508,600,170,7,233,41.29879235,-96.22820603
" ChicagoMilwaukee, Chicago",1867,1003,634,656,103,6322,825,771,1965,72,506,108,1660,41.8755616,-87.6244212
" Cermak-McCormick Place, Chicago",644,773,171,208,185,4007,783,3002,1814,1277,876,574,1163,41.8527022,-87.6263803
" Central-Lake, Chicago",119,83,36,104,78,376,557,1834,167,157,41,0,480,41.62095925,-87.46915479
" Bryn Mawr, Chicago",332,289,125,517,887,1624,684,1511,1398,40,235,20,888,41.766146,-87.5776229
" Harlem-Lake, Chicago",515,390,118,646,657,2708,607,2919,1341,320,382,55,1051,41.7864595,-87.8011458
" Harlem-O'Hare, Chicago",88,38,45,110,312,1245,399,518,305,11,27,0,175,41.667447,-87.59274059
" Harrison, Chicago",12124,12581,94,3929,916,116260,6853,7256,5451,14026,3857,4083,10817,41.8742404,-87.6247913
" Howard, Chicago",84,120,80,162,250,629,403,1551,305,11,223,7,506,42.0194858,-87.6761704
" Irving Park-O'Hare, Chicago",616,335,291,275,56,859,293,531,516,18,32,0,652,41.9523515,-87.8365145
" Irving Park-Ravenswood, Chicago",897,376,91,352,338,3534,1058,1088,917,39,236,43,1139,41.9533212,-87.731455
" Jarvis, Chicago",96,147,92,184,298,793,686,1572,404,16,277,21,601,42.312188,-87.834142
" Jefferson Park, Chicago",395,290,33,111,142,962,288,205,429,412,46,8,248,41.9717361,-87.76348787
" Kedzie-Douglas, Chicago",374,178,128,149,139,332,1186,1364,220,499,53,0,457,41.8623875,-87.7054293
" Kedzie-Ravenswood, Chicago",241,140,113,225,144,847,932,767,448,3,151,2,580,41.9660603,-87.7095588
" LaSalle, Chicago",22697,16317,101,13440,845,170741,8737,9719,7185,22620,4379,4896,15581,41.3307373,-89.1071041
" Logan Square, Chicago",327,147,100,476,192,941,431,942,1286,65,178,5,528,41.9283727,-87.7067636
" Morse, Chicago",145,790,80,259,131,771,1041,964,671,57,161,48,624,42.0078658,-87.6638352
" Oak Park-Lake, Chicago",530,356,99,482,474,2370,888,1486,997,455,418,53,941,40.7781966,-111.918275
" Paulina, Chicago",546,167,105,970,696,3107,579,1319,1385,20,373,22,1102,41.8959596,-87.6693308
" Racine, Chicago",3310,2297,99,707,197,6965,13698,16162,2627,1489,2393,348,2881,42.7274578,-87.8098037
" Ridgeland, Chicago",357,70,85,109,205,1273,1016,1773,437,673,315,1,652,41.7032948,-87.7805909
" RooseveltWabash, Chicago",1098,1558,74,1403,604,12020,2901,1534,1830,1484,1231,1904,2270,41.8755616,-87.6244212
" Sedgwick, Chicago",1277,1713,146,1440,656,6220,1104,1100,1684,213,1398,562,1797,37.779127,-97.536903
" Sheridan, Chicago",264,219,100,542,423,1887,2680,1366,1777,347,719,234,1084,42.3198854,-87.8425876
" Southport, Chicago",447,292,95,1208,539,2240,447,1498,2569,116,834,228,1176,41.9200374,-87.6631506
" UIC-Halsted, Chicago",9481,6636,104,8109,604,21280,13963,2573,5666,2007,495,478,4357,41.875571,-87.6472426
" WashingtonWells, Chicago",32159,19206,206,16145,1888,236440,9471,14118,14725,26055,5557,7557,22905,41.8755616,-87.6244212
" WesternMilwaukee, Chicago",833,481,127,1670,263,2235,1221,2239,1629,281,339,88,966,41.8755616,-87.6244212
" Western-Ravenswood, Chicago",457,184,130,372,282,1032,798,1825,1127,141,198,24,914,41.9662349,-87.6884482
" Wilson, Chicago",176,252,75,429,276,1347,2570,3133,847,49,174,28,1292,42.36277825,-83.33182735
"DC Pentagon City, DC",629,68,41,2068,370,4464,73,1224,1453,385,249,1810,1654,38.86304015,-77.0591301
"Philly 49th Street, Philly",170,228,43,104,112,574,568,464,302,56,269,24,986,39.94563073,-75.21800892
"Philly Bryn Mawr, Philly",607,123,201,328,109,2263,1358,3047,535,3,285,567,1058,35.968335,-81.771502
"Philly Chestnut Hill East, Philly",158,26,6,91,116,580,322,2128,318,0,95,77,534,40.0770553,-75.2074
"Philly Doylestown, Philly",312,183,222,363,223,2237,701,856,575,6735,128,68,686,39.9527237,-75.1635262
"Philly Elm Street, Philly",972,382,94,170,69,1112,2369,1042,348,2398,214,7,517,42.1520019,-79.3731034
"Philly Fox Chase, Philly",187,81,160,60,67,244,106,349,167,66,18,1,370,43.65270825,-79.38384234
"Philly Lansdale, Philly",1008,242,166,248,45,1900,111,858,346,263,45,0,657,39.9527237,-75.1635262
"Philly Lansdowne, Philly",394,140,61,100,121,396,251,369,185,83,37,10,199,39.9527237,-75.1635262
"Philly Penn Medicine, Philly",949,93,20,184,365,4406,4086,26323,1096,460,1359,524,1615,39.9527237,-75.1635262
"Philly Rosemont, Philly",401,86,87,239,100,1473,895,1840,479,3,167,41,479,39.9527237,-75.1635262
"Philly Suburban Station, Philly",14048,1738,129,5237,1516,84146,5544,17878,9429,9508,3283,5375,13283,39.9542026,-75.1673687
"Philly Wayne, Philly",263,74,125,576,180,2277,414,673,573,34,78,62,557,39.9527237,-75.1635262
"Philly Wayne Junction, Philly",218,140,91,205,99,506,520,1467,371,52,23,23,469,40.0227281,-75.1598192
